longitude,latitude
14.7652599,51.5189293
14.7303642,51.5306226
14.7264023,51.5517518
14.6270254,51.50779
14.6378632,51.5054656
14.6426625,51.5043957
14.6563233,51.5034748
14.6897377,51.5271841
14.6968657,51.5237867
14.7103017,51.5208351
14.7161365,51.5171319
14.6897438,51.561003
14.7089002,51.5525621
14.7134208,51.5511707
14.7220098,51.5448985
14.7256439,51.5416926
14.7266837,51.5274444
14.7174184,51.5089716
14.713628,51.4999172
14.7198222,51.4941284
14.7222727,51.4884059
14.722537,51.4826318
14.7240753,51.5363852
14.7114155,51.5323904
14.6571363,51.5164008
14.6527398,51.5135015
14.6488155,51.5105136
14.6372915,51.5009926
14.632122,51.4965557
14.6280856,51.4931288
14.7098486,51.5027069
14.6858783,51.4957339
14.6716414,51.4930788
14.6666183,51.4915025
14.6610376,51.491231
14.6555439,51.4921923
14.631282,51.5013585
14.6261176,51.5024143
14.6321819,51.5055043
14.6192409,51.5075364
14.6145127,51.5105575
14.6063502,51.519469
14.6056581,51.5248292
14.593757,51.5348316
14.579189,51.5444324
14.5744557,51.5463858
14.5593259,51.5480917
14.490588,51.5090244
14.5023756,51.5173301
14.5058798,51.5217372
14.5217853,51.5342031
14.5316092,51.5393992
14.5443418,51.5302967
14.606375,51.509017
14.6986785,51.5506419
14.6959869,51.5450912
14.6671471,51.5356213
14.662209,51.5326099
14.6490149,51.5364723
14.64288,51.5371452
14.6353073,51.5371932
14.6260504,51.5373229
14.5920921,51.5405556
14.7087806,51.5590778
14.6215496,51.5402086
14.6166915,51.5153729
14.6184255,51.5201959
14.6226502,51.5241162
14.5619892,51.5435
14.5092843,51.5283138
14.478513,51.5133482
14.4949432,51.5102636
14.6724316,51.5344891
14.6825276,51.5346854
14.6266576,51.526852
14.7091329,51.4955492
14.6746671,51.508491
14.6481467,51.5046954
14.6204057,51.5124496
14.6316577,51.5127009
14.6421237,51.508827
14.6145336,51.520818
14.611478,51.5154746
14.6040302,51.4359877
14.6180503,51.3864339
14.6080416,51.3870464
14.5997898,51.3941112
14.7169557,51.5541237
14.7290377,51.4704594
14.7358261,51.4681442
14.7445202,51.4635211
14.7617233,51.4534148
14.7747423,51.4455751
14.5745386,51.3404312
14.5898825,51.3483511
14.5231054,51.3609882
14.5168443,51.3629368
14.5119256,51.3645962
14.5036073,51.365419
14.4977355,51.3661679
14.5005122,51.4576861
14.6564543,51.4334616
14.6140824,51.4335002
14.6110967,51.4370484
14.8995298,51.4790918
14.8443649,51.4847549
14.8377904,51.4893142
14.8317555,51.4918049
14.8204759,51.4979802
14.7943525,51.5066853
14.7632708,51.5164839
14.9428691,51.4604209
14.9471773,51.4574695
14.9522891,51.4479202
14.9533338,51.4337499
14.7269632,51.5004034
14.6634361,51.3879428
14.5156791,51.4098133
14.5048163,51.4045331
14.4998438,51.4050447
14.7125352,51.5646358
14.5008743,51.3355277
14.5043434,51.3445934
14.5078212,51.3693916
14.6410627,51.3151559
14.6341526,51.3184901
14.6275272,51.3210427
14.6195817,51.3225725
14.6133193,51.3250559
14.5982389,51.3432846
14.6026836,51.3477422
14.5132064,51.3958873
14.6164584,51.3803949
14.6071363,51.3532067
14.6078908,51.3602287
14.6054709,51.366827
14.612362,51.370611
14.6144698,51.3751157
14.5128752,51.3697707
14.4985813,51.3752081
14.5010721,51.3816601
14.5058232,51.3863806
14.509533,51.389753
14.5160315,51.5399955
14.4579398,51.5520934
14.5289849,51.5353088
14.575741,51.5653755
14.5462162,51.5467515
14.7221592,51.5538781
14.7261906,51.5466732
14.7163916,51.5549924
14.7192502,51.5486767
14.724031,51.5484745
14.7236891,51.5730758
14.7223634,51.5537937
14.7178685,51.5532856
14.5872166,51.3525933
14.5815785,51.3570606
14.5696156,51.3578581
14.5537599,51.3573661
14.5447366,51.3588733
14.5407692,51.3558704
14.617033,51.5062039
14.6146668,51.4999307
14.6195524,51.5001088
14.628974,51.4979262
14.6226751,51.4953694
14.6342095,51.4956761
14.6386478,51.4937867
14.642907,51.4919695
14.6331176,51.4936296
14.6433678,51.5008989
14.6486838,51.5015741
14.6431218,51.5027715
14.6233245,51.5036257
14.6124762,51.5067352
14.7179132,51.5349263
14.6004508,51.5269507
14.6042589,51.5186029
14.6030913,51.5134249
14.6003264,51.5091146
14.7091764,51.4694703
14.6874532,51.4477017
14.4933158,51.3379649
14.4882255,51.3357377
14.7205321,51.4893883
14.5355952,51.5446031
14.5665125,51.5674433
14.5676737,51.5260059
14.5763628,51.404858
14.8343286,51.4564569
14.9141511,51.4679006
14.9168067,51.456388
14.8556146,51.447792
14.9237641,51.4442614
14.885827,51.4391255
14.8904618,51.4232861
14.9280461,51.4159171
14.9302873,51.4205029
14.8932084,51.4297081
14.776822,51.4687561
14.8054894,51.4606283
14.8023995,51.4550664
14.7730235,51.4627524
14.777337,51.4794483
14.7903832,51.4788069
14.7953364,51.4684851
14.7242936,51.4474711
14.7361382,51.4496107
14.7388848,51.4425495
14.7287568,51.4409445
14.6928796,51.4547455
14.7060975,51.4548524
14.7102174,51.4440474
14.700776,51.4458663
14.6942529,51.4489688
14.7418031,51.4370924
14.7496995,51.4411585
14.7086724,51.4333469
14.7304734,51.4348451
14.7311601,51.4299222
14.6654138,51.4289589
14.6743401,51.4299222
14.6818932,51.4249987
14.6726235,51.4232861
14.6918496,51.4272465
14.699231,51.4263902
14.6925363,51.4216804
14.6870431,51.4254269
14.4794818,51.3294497
14.9458247,51.4701274
14.7102351,51.5431772
14.6885319,51.5480956
14.4727269,51.5538218
14.5063285,51.4143116
14.4792416,51.4748851
14.4832664,51.4726001
14.4889719,51.4687272
14.5137387,51.447744
14.5161153,51.4421732
14.5272537,51.4295781
14.5373368,51.4238514
14.5001949,51.3870998
14.4972229,51.3828617
14.4919444,51.3724365
14.5279248,51.528762
14.5189979,51.4983804
14.5250691,51.538412
14.4856332,51.5085094
14.5366817,51.5286634
14.5465608,51.4248166
14.7218227,51.516931
14.9609882,51.4355896
14.9645881,51.4408653
14.960826,51.4497782
14.9568137,51.4544489
14.955179,51.4595403
14.9517268,51.4657828
14.9412249,51.4719188
14.9360964,51.4723238
14.9293426,51.4725083
14.9228718,51.4765354
14.9184853,51.4777163
14.9126281,51.4791605
14.9070791,51.4796153
14.8959776,51.4822897
14.8899634,51.4841283
14.8814557,51.4837769
14.8764082,51.4828048
14.8700592,51.48189
14.8639054,51.4809952
14.8623313,51.4861269
14.8573005,51.4889033
14.8514131,51.4893115
14.8425617,51.4933422
14.8374543,51.4956087
14.8317699,51.4981358
14.825521,51.4991591
14.8133148,51.5012561
14.8089453,51.504277
14.8062714,51.5091619
14.7948725,51.5131637
14.7903182,51.5133134
14.7856629,51.5133423
14.7742573,51.5167743
14.7315282,51.5284399
14.716346,51.4871166
14.7075433,51.4905593
14.6375443,51.4071453
14.587531,51.4137263
14.5880506,51.4236901
14.6383078,51.4909502
14.661586,51.4360537
14.6652304,51.4390934
14.668913,51.4442685
14.6713956,51.4500094
14.674585,51.4585432
14.6758905,51.4635352
14.6716732,51.4709169
14.6658874,51.4733955
14.6607251,51.4747853
14.655712,51.475876
14.6503931,51.4770182
14.6431426,51.4793989
14.6369803,51.4814737
14.6311316,51.483705
14.6260754,51.4862455
14.6188743,51.4884277
14.61376,51.4911114
14.6086852,51.4938467
14.6034148,51.4968654
14.5981372,51.5002125
14.575418,51.5116172
14.5813202,51.5060632
14.575182,51.5196746
14.5751099,51.5248035
14.583756,51.5360247
14.5784948,51.5387499
14.717121,51.5407906
14.7250795,51.5379354
14.8607635,51.480758
14.7571597,51.5202428
14.752451,51.5084913
14.7582241,51.5086578
14.4742495,51.3562189
14.4786993,51.3490389
14.4946565,51.3334479
14.4902652,51.3308331
14.4996563,51.3303024
14.50435,51.3317847
14.5210719,51.3501346
14.4908116,51.32609
14.6110026,51.3329818
14.6182599,51.3276964
14.6383391,51.3349657
14.6436467,51.3352005
14.6202017,51.3550263
14.6473632,51.3546517
14.6417731,51.5353815
14.6448058,51.5536938
14.6306288,51.5373792
14.6250377,51.5357662
14.6311153,51.5383704
14.6293433,51.5325479
14.5736322,51.3954377
14.5618559,51.4092428
14.5518224,51.408276
14.5437325,51.4024298
14.5540908,51.4009921
14.5781855,51.3948961
14.5828317,51.3912904
14.5882059,51.3898351
14.5894868,51.3839563
14.5842922,51.380024
14.5733566,51.3743446
14.5670887,51.3634923
14.5612273,51.3594645
14.5518722,51.357645
14.5226454,51.3670091
14.503517,51.3816879
14.5274583,51.3851151
14.533099,51.3863717
14.5435989,51.3884686
14.5545005,51.3924931
14.5588243,51.3945255
14.5475676,51.400002
14.5570222,51.3447144
14.7193574,51.5711936
14.6707909,51.4554059
14.5715857,51.5349207
14.5806441,51.4025483
14.646346,51.3778744
14.7016343,51.4809111
14.5879542,51.3996098
14.6915542,51.4739743
14.7051496,51.4753327
14.7228991,51.4944351
14.7167733,51.4944518
14.6196034,51.5064241
14.6145868,51.4933699
14.7053745,51.4971998
14.7171766,51.4992972
14.7239906,51.4905005
14.728663,51.489472
14.735244,51.4886342
14.599183,51.3520935
14.5805787,51.339733
14.5124944,51.3646022
14.6329813,51.4886003
14.6424835,51.4943897
14.6325827,51.4983489
14.5993624,51.4389429
14.6040972,51.4381515
14.5088823,51.3324947
14.5054631,51.3395205
14.7403365,51.4986506
14.7326661,51.4975372
14.7320134,51.5052496
14.7479459,51.5001081
14.7380421,51.5056455
14.7281736,51.5025897
14.7409555,51.4991023
14.7578131,51.5013016
14.7502978,51.4942097
14.7272269,51.4845116
14.7196442,51.4831347
14.714424,51.482793
14.7245073,51.5081175
14.7155945,51.5138144
14.7128165,51.5070048
14.7173798,51.5187819
14.725822,51.520706
14.7097515,51.5158335
14.6671174,51.5080674
14.6631883,51.5050888
14.7028907,51.4864605
14.6957805,51.4838092
14.6837905,51.4760648
14.6804206,51.4694224
14.5495539,51.4191997
14.5513729,51.4146148
14.5554308,51.4124132
14.5601428,51.4128962
14.5689702,51.4137591
14.5749524,51.4147412
14.580678,51.4159672
14.587332,51.4173479
14.5862647,51.4233278
14.5796941,51.4236981
14.5750659,51.4231434
14.5659111,51.4218271
14.5575259,51.4206183
14.5450397,51.5389164
14.5843492,51.418717
14.4888287,51.3674225
14.500897,51.3394487
14.4751476,51.5030684
14.8039162,51.4875206
14.7336359,51.5233896
14.6518169,51.4988331
14.6525569,51.5065148
14.6399818,51.5136543
14.627676,51.5183172
14.6263502,51.5097705
14.6460953,51.5047226
14.6872458,51.5423473
14.6836302,51.5280219
14.6800502,51.5323787
14.7406407,51.511253
14.7374137,51.5154177
14.7250237,51.5143662
14.7300265,51.5145428
14.7208247,51.523971
14.6624814,51.5191857
14.6941141,51.5342296
14.6590909,51.3863547
14.5050829,51.363451
14.7228128,51.4776444
14.6235319,51.3619473
14.5160904,51.4936881
14.68004,51.4955945
14.6979787,51.4966469
14.5193526,51.4883973
14.5256574,51.4847216
14.49606,51.4984126
14.5006423,51.4994477
14.506683,51.4967433
14.5116709,51.4906038
14.5183802,51.4925847
14.5252912,51.4911329
14.5328386,51.4895133
14.5249564,51.4990486
14.6788585,51.4646663
14.5203699,51.5172999
14.5141138,51.5332486
14.520827,51.5405733
14.5239419,51.4131254
14.832118,51.5038226
14.7293575,51.5423693
14.7257811,51.5356097
14.5778809,51.528584
14.5269555,51.5057486
14.5249227,51.5104811
14.5323033,51.5042106
14.5309437,51.5433114
14.5015489,51.5148249
14.5138637,51.5112106
14.5364242,51.5338373
14.5576061,51.3255531
14.7032459,51.5755325
14.633974,51.5519842
14.5438998,51.56125
14.4766943,51.4708765
14.5203713,51.3310895
14.6983285,51.5768682
14.476414,51.4827047
14.7205212,51.5861607
14.5066919,51.5569913
14.5816401,51.3227018
14.6205259,51.5503159
14.4778607,51.5572408
14.512657,51.5554519
14.6983943,51.5897462
14.4717007,51.3643733
14.5659484,51.5781866
14.5237459,51.5575422
14.4469704,51.5528579
14.4774796,51.3704427
14.5175104,51.5545449
14.6152145,51.5500138
14.6812342,51.5539242
14.6283915,51.5506571
14.4718692,51.3314269
14.5060174,51.4483159
14.4593752,51.5114129
14.4978238,51.5589244
14.4795199,51.385598
14.4797212,51.321187
14.5666723,51.3173833
14.4619024,51.3529785
14.5947088,51.3195429
14.4698624,51.5101028
14.4846476,51.4658731
14.4679951,51.3459163
14.5890916,51.3222332
14.5487552,51.4106133
14.4859934,51.5579958
14.58263,51.5748617
14.6377217,51.5536568
14.4650028,51.3584759
14.5985442,51.3117354
14.5775134,51.3246578
14.4727424,51.5570157
14.5132561,51.4374195
14.4867512,51.4569734
14.4736518,51.4902508
14.5868333,51.3124923
14.7040956,51.5827255
14.5711008,51.3198895
14.6053368,51.3033164
14.4921085,51.5587057
14.5320178,51.5590779
14.4744692,51.4984594
14.47453,51.4774676
14.4838215,51.3800897
14.4508226,51.5379564
14.4983517,51.559036
14.5609628,51.5736356
14.549723,51.3347199
14.5917742,51.3178498
14.4783874,51.4932938
14.5518577,51.3292444
14.4798674,51.5573597
14.4857939,51.4500024
14.5098376,51.4439363
14.4949774,51.4611017
14.4471934,51.5489934
14.4748372,51.5057106
14.4630317,51.3461596
14.5649119,51.5339864
14.5548416,51.538341
14.5386138,51.5397943
14.556619,51.5314097
14.5506922,51.5321903
14.5833425,51.5290047
14.5685306,51.5290766
14.6092878,51.5105554
14.5939161,51.3929395
14.6155562,51.5150331
14.6007559,51.43122
14.6743235,51.5035143
14.6692235,51.5034125
14.5488288,51.4846273
14.5415569,51.4841861
14.5363712,51.4828757
14.5316818,51.4837802
14.5591373,51.5252081
14.6287751,51.3649445
14.6341347,51.3678204
14.6398324,51.370961
14.6434546,51.3739977
14.4812117,51.364859
14.4772783,51.3614263
14.6032411,51.3478271
14.5213952,51.5292355
14.6274233,51.3940304
14.6216253,51.3979883
14.6175535,51.4017789
14.6151297,51.3963229
14.5894485,51.5097936
14.5618938,51.5166878
14.5766861,51.5035947
